Category,Item
Other,heart activity
4CH,4 chambers view
4CH,4 chambers heart
4CH,4 chambers view with doppler
4CH,4 chambers view doppler
4CH,4 chambers with doppler
RVOT,right outflow tract
LVOT,left outflow tract
3VV,three vessels view
3VV,three vessels with doppler
3VV,three vessels view with doppler
3VV,3 vessels view
4CH,heart 4 chambers
RVOT,heart right outflow tract
RVOT,heart right outflow
Other,heart interventricular septum
Other,pulmonary veins
LVOT,left outflow tract with doppler
RVOT,right outflow tract with doppler
3VV,vessels with doppler
Other,aorta
Other,4 pulmonary veins
Other,pulmonary vein
Other,pulmonary artery doppler
Other,outflow tract with doppler
Brain (Cb.),head circumference
Brain (Cb.),cerebellum
Brain (Cb.),cerebellum plane
Brain (Cb.),cerebellum cisterna magna and nuchal fold measurement
Brain (Cb.),fetal head
Brain (Cb.),posterior ventricle
Brain (Cb.),corpus callosum
Brain (Cb.),ear
Brain (Cb.),choroid plexus
Brain (Tv.),transventricular plane
Brain (Tv.),transventricular plane head circumference
Brain (Tv.),transventricular view head circumference
Brain (Tv.),head base images
Brain (Tv.),plane head circumference
Brain (Tv.),head
Brain (Tv.),transventricular plane posterior ventricle
Brain (Cb.),middle cerebral artery doppler
Brain (Tv.),transventricular plane bpd and hc
Brain (Tv.),posterior horn of lateral ventricle
Brain (Tv.),sagittal view corpus callosum vermis
Profile,profile
Lips,noselips
Lips,upper lip
Other,tongue
Other,palate
Other,orbits and eyelenses
Other,orbits
Other,orbit
Other,upper limbs
Other,upper limb
Other,humerus
Other,hands
Other,hand
Other,lower limbs
Other,lower limb
Femur,femur
Femur,femur length
Other,feet
Other,foot
Other,situs stomach and heart apex on the left
Abdominal,abdomen
Abdominal,abdominal circumference
Abdominal,stomach
Abdominal,intestine echogenicity
Abdominal,intestine
Abdominal,diaphragm
Abdominal,right diaphragm
Abdominal,left diaphragm
Abdominal,bladder
Other,cord
Other,cord insertion
Other,cord insertion on placenta
Other,cord cord on placenta
Other,umbilical doppler
Other,cord on placenta
Kidneys,kidneys
Kidneys,kidney
Kidneys,renal
Kidneys,renal arteries
Kidneys,kidneys coronal view
Kidneys,kidneys transverse view
Kidneys,kidneys transversal view
Other,kidney sagittal view
Kidneys,kidneys corderse view
Other,kidney coronal view
Kidneys,kidneys vessels
Other,kidneys parasagittal view
Kidneys, kidneys axial view
Other,kidneys sagittal view
Other,placenta
Other,genitals
Other,genital
Spine (sag.),spine
Other,right uterine artery
Other,left uterine artery
Other,amniotic fluid
Other,transvaginal scan cervix wrong measurement
Other,distance placenta cervix
Other,placenta cervix distance
Other,cervix
Other,fibrome
Other,situs
Other,leipar
Other,par de faut
