Category,Item
Background,heart activity
4CH,4 chambers view
4CH,4 chambers heart
4CH,4 chambers view with doppler
4CH,4 chambers view doppler
4CH,4 chambers with doppler
RVOT,right outflow tract
LVOT,left outflow tract
3VV,three vessels view
3VV,three vessels with doppler
3VV,three vessels view with doppler
3VV,3 vessels view
4CH,heart 4 chambers
RVOT,heart right outflow tract
RVOT,heart right outflow
Background,heart interventricular septum
Background,pulmonary veins
LVOT,left outflow tract with doppler
RVOT,right outflow tract with doppler
3VV,vessels with doppler
Background,aorta
Background,4 pulmonary veins
Background,pulmonary vein
Background,pulmonary artery doppler
Background,outflow tract with doppler
Brain (Cb.),head circumference
Brain (Cb.),cerebellum
Brain (Cb.),cerebellum plane
Brain (Cb.),cerebellum cisterna magna and nuchal fold measurement
Brain (Cb.),fetal head
Brain (Cb.),posterior ventricle
Brain (Cb.),corpus callosum
Brain (Cb.),ear
Brain (Cb.),choroid plexus
Brain (Tv.),transventricular plane
Brain (Tv.),transventricular plane head circumference
Brain (Tv.),transventricular view head circumference
Brain (Tv.),head base images
Brain (Tv.),plane head circumference
Brain (Tv.),head
Brain (Tv.),transventricular plane posterior ventricle
Brain (Cb.),middle cerebral artery doppler
Brain (Tv.),transventricular plane bpd and hc
Brain (Tv.),posterior horn of lateral ventricle
Brain (Tv.),sagittal view corpus callosum vermis
Profile,profile
Lips,noselips
Lips,upper lip
Background,tongue
Background,palate
Background,orbits and eyelenses
Background,orbits
Background,orbit
Background,upper limbs
Background,upper limb
Background,humerus
Background,hands
Background,hand
Background,lower limbs
Background,lower limb
Femur,femur
Femur,femur length
Background,feet
Background,foot
Background,situs stomach and heart apex on the left
Abdominal,abdomen
Abdominal,abdominal circumference
Abdominal,stomach
Abdominal,intestine echogenicity
Abdominal,intestine
Abdominal,diaphragm
Abdominal,right diaphragm
Abdominal,left diaphragm
Abdominal,bladder
Background,cord
Background,cord insertion
Background,cord insertion on placenta
Background,cord cord on placenta
Background,umbilical doppler
Background,cord on placenta
Kidneys,kidneys
Kidneys,kidney
Kidneys,renal
Kidneys,renal arteries
Kidneys,kidneys coronal view
Kidneys,kidneys transverse view
Kidneys,kidneys transversal view
Background,kidney sagittal view
Kidneys,kidneys corderse view
Background,kidney coronal view
Kidneys,kidneys vessels
Background,kidneys parasagittal view
Kidneys, kidneys axial view
Background,kidneys sagittal view
Background,placenta
Background,genitals
Background,genital
Spine (sag.),spine
Background,right uterine artery
Background,left uterine artery
Background,amniotic fluid
Background,transvaginal scan cervix wrong measurement
Background,distance placenta cervix
Background,placenta cervix distance
Background,cervix
Background,fibrome
Background,situs
Background,leipar
Background,par de faut
